uri,url,error
http://data.bibliotheken.nl/doc/nbt/p303430486,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C727774,empty graph
http://data.bibliotheken.nl/doc/nbt/p303487542,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C728612,empty graph
http://data.bibliotheken.nl/doc/nbt/p303821833,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C769229,empty graph
http://data.bibliotheken.nl/doc/nbt/p303823267,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C769240,empty graph
http://data.bibliotheken.nl/doc/nbt/p303904038,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C769234,empty graph
http://data.bibliotheken.nl/doc/nbt/p304176125,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C941903,empty graph
http://data.bibliotheken.nl/doc/nbt/p304405981,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C781038,empty graph
http://data.bibliotheken.nl/doc/nbt/p30441199X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C781043,empty graph
http://data.bibliotheken.nl/doc/nbt/p304425974,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C781311,empty graph
http://data.bibliotheken.nl/doc/nbt/p304426040,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C782965,empty graph
http://data.bibliotheken.nl/doc/nbt/p304434639,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C781310,empty graph
http://data.bibliotheken.nl/doc/nbt/p30451747X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C788443,empty graph
http://data.bibliotheken.nl/doc/nbt/p304653411,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C787517,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p304653411,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C787517,empty graph
http://data.bibliotheken.nl/doc/nbt/p304683132,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C784233,empty graph
http://data.bibliotheken.nl/doc/nbt/p304684279,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C788440,empty graph
http://data.bibliotheken.nl/doc/nbt/p304684546,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C788494,empty graph
http://data.bibliotheken.nl/doc/nbt/p304736317,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C784606,empty graph
http://data.bibliotheken.nl/doc/nbt/p30476213X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C788495,empty graph
